nombre,etiqueta,categoria,precio,url,imagen
Paris Saint-Germain Club,,Gorra de futbol Nike,$759,https://www.nike.com/mx/t/gorra-de-futbol-nike-del-paris-saint-germain-club-ss3V26lP/JF6758-480,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/f6ef016b-abb1-4a7a-ad51-4de6bf45a055/PSG+U+NK+CLUB+CAP+H86+ALT1.png"
FFF Club,,Gorra de futbol Nike,$759,https://www.nike.com/mx/t/gorra-de-futbol-nike-de-la-fff-club-HJxa6GV2/JF6783-419,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/d099420e-90e2-4590-9464-9b583257657c/FFF+U+NK+CLUB+CAP+H86.png"
Brasil Apex,,Gorro tipo pescador de futbol Nike,"$1,189",https://www.nike.com/mx/t/gorro-tipo-pescador-de-futbol-brasil-apex-8zRxxSGF/JF6815-480,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/da0a5466-3bb4-4d1e-beb1-6cad5d872f63/CBF+U+NK+APEX+BOONIE.png"
Brazil Pro,,Gorra de futbol Nike para niños talla grande,$759,https://www.nike.com/mx/t/gorra-de-futbol-nike-para-ninos-talla-grande-brazil-pro-sWMO46VE/JF6763-480,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/f397a14e-d632-4f96-a4cd-c0a4b788bc54/CBF+K+NK+PRO+CAP+PRO.png"
Brazil Club,,Gorra de futbol Nike,$759,https://www.nike.com/mx/t/gorra-de-futbol-nike-de-brasil-club-yoilA85B/JF6764-480,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/fe9538c4-fbc8-494d-a3b8-2c3136522fc5/CBF+U+NK+CLUB+CAP+H86.png"
Netherlands,,Bufanda de futbol Nike Local Verbiage,"$1,099",https://www.nike.com/mx/t/bufanda-de-futbol-nike-local-verbiage-netherlands-xv4llO0A/JF6849-976,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/b4afdcc6-53b6-407d-bd2d-78ccbc9fee01/KNVB+LOCAL+VERBIAGE+SCARF+2.0.png"
Brazil Club,,Gorra de futbol Nike,$759,https://www.nike.com/mx/t/gorra-de-futbol-nike-de-brasil-club-yoilA85B/JF6764-765,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/308a8f64-d8ce-44d2-8d79-4de64c6bf6c3/CBF+U+NK+CLUB+CAP+H86.png"
Nike Pitch,,Balón de entrenamiento de fútbol,$549,https://www.nike.com/mx/t/balon-de-entrenamiento-de-futbol-nike-pitch-t1E0m7G5/HV6341-702,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/c9ad562d-350e-423f-a3ce-c5c1ae4b0687/NK+PTCH+TRAIN+-+FA25.png"
Brasil Pitch,,Balón de futbol Nike,$699,https://www.nike.com/mx/t/balon-de-futbol-nike-brasil-pitch-cMMjtf9W/JF6834-100,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/ff3374f2-c2ba-40af-bf5e-769cfaafb56b/CBF+NK+PITCH+BALL+BCS.png"
USA Apex,,Gorro tipo pescador cuadrado de futbol Nike,$799,https://www.nike.com/mx/t/gorro-tipo-pescador-cuadrado-de-futbol-usa-apex-f6Ox41aT/JF6787-976,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/a85a10f5-4e16-44af-894d-d9ca4ba2430a/USA+U+NK+APEX+SQUARE.png"
