nombre,etiqueta,categoria,precio,url,imagen
Jordan,,Playera de rugby Dri-FIT para niños talla grande,"$1,199",https://www.nike.com/mx/t/playera-de-rugby-dri-fit-para-ninos-talla-grande-jordan-82iEjg0B/IZ7484-102,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/6cf386fd-5fd7-4b5a-9d8c-8b96c90b1e54/JDG+SHE%27S+AN+ALLSTAR+RUGBY+TOP.png"
Nike Everyday Elevated,,Calcetas hasta la rodilla (2 pares),$499,https://www.nike.com/mx/t/everyday-elevated-calcetas-hasta-la-rodilla-2-pares-0XOlnAbG/HQ8510-663,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/4d9092bc-9732-4f01-834d-ee2dde293d7f/U+NK+ED+ELVD+OTC+2P+-+144.png"
Nike Sportswear,,Playera para hombre,$899,https://www.nike.com/mx/t/playera-para-hombre-nike-sportswear-rIrv3AnV/IW0964-098,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/e995a3b7-067f-4739-89fc-f1e69310f1b1/M+NSW+TEE+WASH+FMRN.png"
Jordan Rebel Rose,,Playera de French Terry para niños talla grande,"$1,199",https://www.nike.com/mx/t/playera-de-french-terry-para-ninos-talla-grande-jordan-rebel-rose-maOqYkAo/IZ7548-663,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/85411e56-01aa-44f1-9354-d105bd46c855/JDG+JORDAN+REBEL+ROSE+FLC+TOP.png"
Nike Sportswear Chill Knit,,Playera para mujer,$899,https://www.nike.com/mx/t/playera-para-mujer-nike-sportswear-chill-knit-hAyAo2uK/IW0939-486,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/ca47e212-16b6-429a-9910-156374cfb910/W+NSW+MD+CRP+SPORT+DOG+SGPX.png"
Nike Everyday Cushioned,Lo nuevo,Calcetas para niños talla grande (6 pares),$699,https://www.nike.com/mx/t/calcetines-largos-para-ninos-talla-grande-nike-everyday-cushioned-6-pares-HTRTAamU/IQ2212-904,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/95b88247-2565-4f4d-9629-d52f0d8dcbe8/Y+NK+ED+CSH+CRW+6P-144+SARTGFX.png"
Nike Miler,,Playera de manga corta Dri-FIT para niños talla grande,$599,https://www.nike.com/mx/t/playera-de-manga-corta-nike-miler-dri-fit-para-ninos-talla-grande-d3Fwl39W/IF2425-608,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/18f94b90-8783-4c3c-9e91-82ceb23b8614/K+NK+DF+MILER+SS+TOP.png"
Nike,,Playera Club Boxy para niños talla pequeña,$489,https://www.nike.com/mx/t/playera-club-boxy-para-ninos-talla-pequena-nike-fi0X8EZs/FV3477-621,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/f00aef85-6785-41e5-94e0-ef88adfa803c/NKG+HBR+CLUB+BOXY+TEE.png"
Nike ACG,,Playera de manga larga Dri-FIT para niño talla grande,$899,https://www.nike.com/mx/t/playera-de-manga-larga-dri-fit-para-ninos-talla-grande-nike-acg-FHbIww6N/IZ8095-010,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/028062e9-22f8-46af-806d-a66a45eb161f/ACN+HBR+ACG+LS+TEE.png"
Jordan,,Playera Brooklyn Auto '84 para niños talla grande,$799,https://www.nike.com/mx/t/playera-brooklyn-auto-84-para-ninos-talla-grande-jordan-n6VIqM9S/IZ7414-100,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/d884d62e-0de8-4db3-8583-bfb7df3620ec/JDB+MJ+BRK+S+AUTO+85+SS+TEE.png"
