categoria,imagen,nombre,precio,url
Tenis de básquetbol,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/94dde898-fe71-4ae9-8cfc-794f2a21b9cd/AIR+JORDAN+40+ASW.png","Air Jordan 40 ""Infrared""","$4,499",https://www.nike.com/mx/t/tenis-de-basquetbol-air-jordan-40-infrared-W2emhO7C/IQ4092-001
Tenis de skateboarding,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/f2532088-22b4-41c0-bcb3-8c479c4eef43/NIKE+SB+ZOOM+BLAZER+MID.png",Nike SB Zoom Blazer Mid,"$2,199",https://www.nike.com/mx/t/tenis-de-skateboarding-nike-sb-zoom-blazer-mid-WyTAj8OA/864349-007
Tacos de futbol para pasto sintético (turf) de corte low,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/057564ee-230d-4260-9555-9121977f28ef/VAPOR+17+PRO+TF.png",Nike Mercurial Vapor 17 Pro,"$3,699",https://www.nike.com/mx/t/tacos-de-futbol-para-pasto-sintetico-turf-de-corte-low-nike-mercurial-vapor-17-pro-aCKPP9Kg/IM5811-600
Tacos de futbol para pasto sintético (turf) de corte high,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/e0c70da7-5696-4683-876f-7efa10fbe21a/SUPERFLY+11+CLUB+TF.png",Nike Mercurial Superfly 11 Club,"$1,899",https://www.nike.com/mx/t/tacos-de-futbol-para-pasto-sintetico-turf-de-corte-high-nike-mercurial-superfly-11-club-ISEMYyjf/IO1498-100
Calzado para hombre,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/2557b521-7942-40b2-af87-9839b62bba32/AIR+MORE+UPTEMPO+%2796.png",Nike Air More Uptempo '96,"$3,999",https://www.nike.com/mx/t/calzado-para-hombre-nike-air-more-uptempo-96-TK3FMT/DV0819-001
Tenis de básquetbol,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/62b002da-5883-4032-8071-c40bee479170/NIKE+G.T.+CUT+DH+X+TITAN+PE.png","Nike G.T. Cut ""Dylan Harper x TITAN""","$4,899",https://www.nike.com/mx/t/tenis-de-basquetbol-nike-gt-cut-dylan-harper-x-titan-IUSh3E9G/IU0779-001
Tacos de futbol para pasto sintético (turf) de corte low,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/805b1b1f-58af-4a52-a2b9-73c2b61a96ce/VAPOR+17+CLUB+TF.png",Nike Mercurial Vapor 17 Club,"$1,699",https://www.nike.com/mx/t/tacos-de-futbol-para-pasto-sintetico-turf-de-corte-low-nike-mercurial-vapor-17-club-9Etof8uE/IM5965-600
Tacos de fútbol para terrenos múltiples,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/1257cf3f-1adb-458c-9560-66ee0cd360e5/PHANTOM+6+HIGH+CLUB+FG%2FMG.png",Nike Phantom 6 High Club,"$1,799",https://www.nike.com/mx/t/tacos-de-futbol-para-terrenos-multiples-nike-phantom-6-high-club-Fkkjn654/HQ2275-600
Tenis de básquetbol,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/dd896263-3c9b-4aff-bb46-100150b45ecf/JORDAN+LUKA+5+ESS.png","Luka 5 ""Graffiti""","$3,099",https://www.nike.com/mx/t/tenis-de-basquetbol-luka-5-graffiti-NAn6aX8L/IR0963-100
Tacos de futbol para terrenos múltiples de corte high,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/0b3e31f5-21ff-4be8-9467-66b17dd0b73e/SUPERFLY+11+CLUB+FG%2FMG.png",Nike Mercurial Superfly 11 Club,"$1,899",https://www.nike.com/mx/t/tacos-de-futbol-para-terrenos-multiples-de-corte-high-nike-mercurial-superfly-11-club-zwAAQEFt/IM0358-100
Tacos de futbol para terreno firme de corte low,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/5b145286-3559-4c43-84cc-89fc580765dd/ZM+SUPERFLY+11+ELITE+FG.png",Nike Mercurial Superfly 11 Elite,"$7,599",https://www.nike.com/mx/t/tacos-de-futbol-para-terreno-firme-de-corte-low-nike-mercurial-superfly-11-elite-7xGskQzm/IF8507-101
Tacos de futbol para terreno firme de corte low,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/96a32925-20a5-4e01-a064-ae29717bba9a/VAPOR+17+PRO+FG.png",Nike Mercurial Vapor 17 Pro,"$3,699",https://www.nike.com/mx/t/tacos-de-futbol-para-terreno-firme-de-corte-low-nike-mercurial-vapor-17-pro-YkSxtTmv/IF8512-600
Tenis para hombre,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/721d2f2d-d069-44aa-9de5-70e0574d4308/NIKE+V5+RNR.png",Nike V5 RNR,"$1,999",https://www.nike.com/mx/t/tenis-para-hombre-nike-v5-rnr-LKsijjcD/HJ5228-014
Tenis para hombre,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/376178e9-bcc7-4c07-8b01-e46b6c63dbc2/AIR+JORDAN+1+LOW+SE.png",Air Jordan 1 Low SE,"$3,299",https://www.nike.com/mx/t/tenis-para-hombre-air-jordan-1-low-se-6OyAFi3P/IX3529-010
Tenis para hombre,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/41ce7096-b798-4cd2-b341-2a94885ada32/AIR+FORCE+1+%2707.png",Nike Air Force 1 '07,"$2,599",https://www.nike.com/mx/t/tenis-para-hombre-nike-air-force-1-07-iR4fEQqI/IH1698-003
Tenis de básquetbol para hombre,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/5fc74bf9-df9d-4c3b-a7ef-555b3f70c8a8/NIKE+PRECISION+8+LOW.png",Nike Precision 8 Low,"$1,999",https://www.nike.com/mx/t/tenis-de-basquetbol-para-hombre-nike-precision-8-low-qjD7yBMh/IH1104-003
Tacos de fútbol para terrenos múltiples,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/20be608c-de64-45bc-8b44-306f9fc0c252/PHANTOM+6+LOW+CLUB+FG%2FMG.png",Nike Phantom 6 Low Club,"$1,699",https://www.nike.com/mx/t/tacos-de-futbol-para-terrenos-multiples-nike-phantom-6-low-club-NTNrIQoE/HM8933-600
Tenis de entrenamiento para hombre,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/c22d2e8b-3c4c-4297-b530-b198a73565a2/NIKE+FREE+METCON+7.png",Nike Free Metcon 7,"$2,999",https://www.nike.com/mx/t/tenis-de-entrenamiento-para-hombre-nike-free-metcon-7-1IwQn9Sg/II7405-401
Tenis de trail running impermeables para hombre,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/79475bbd-c6b0-4260-8574-411ce77d4e33/NIKE+ACG+ZEGAMA+TRAIL+GTX.png",Nike ACG Zegama Trail GORE-TEX,"$4,599",https://www.nike.com/mx/t/tenis-de-trail-running-impermeables-para-hombre-nike-acg-zegama-trail-gore-tex-nHqsMMcB/IO7932-001
Tenis para hombre,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/0935f732-890c-421f-8fd9-926a009dcf3a/NIKE+REAX+8+NSW+SL.png",Nike Reax 8 SL,"$2,299",https://www.nike.com/mx/t/tenis-para-hombre-nike-reax-8-sl-QWGppwXk/IR5118-004
Tenis para hombre,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/46f174d5-8fd6-45e1-8394-0e3fc7a31b52/NIKE+COURT+VISION+LO+P+NB.png",Nike Court Vision Low,"$1,799",https://www.nike.com/mx/t/tenis-para-hombre-nike-court-vision-low-BXRV7ooo/IM0459-003
